"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 24 08:32:08 GMT 2021","Sat Jul 24 08:32:09 GMT 2021","951","selenuim_tests","test_A002_reg_invalid_email","","","","test_reg",""
"passed","Sat Jul 24 08:32:09 GMT 2021","Sat Jul 24 08:32:10 GMT 2021","916","selenuim_tests","test_A004_login","","","","test_login",""
"passed","Sat Jul 24 08:32:05 GMT 2021","Sat Jul 24 08:32:08 GMT 2021","3183","selenuim_tests","test_A001_registration","","","","test_reg",""
