"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 09:27:22 GMT 2021","Sun Jul 25 09:27:23 GMT 2021","1084","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sun Jul 25 09:27:21 GMT 2021","Sun Jul 25 09:27:22 GMT 2021","1071","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"broken","Sun Jul 25 09:27:28 GMT 2021","Sun Jul 25 09:27:31 GMT 2021","3344","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Sun Jul 25 09:27:16 GMT 2021","Sun Jul 25 09:27:20 GMT 2021","3531","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Sun Jul 25 09:27:23 GMT 2021","Sun Jul 25 09:27:28 GMT 2021","5129","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Sun Jul 25 09:27:20 GMT 2021","Sun Jul 25 09:27:21 GMT 2021","1070","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
