"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:32:31 GMT 2021","Wed Aug 04 14:32:32 GMT 2021","1094","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:23:00 GMT 2021","Wed Aug 04 14:23:01 GMT 2021","884","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:22:45 GMT 2021","Wed Aug 04 14:22:55 GMT 2021","10216","selenium_tests","test_A000_cookie","","","","test_cookies",""
"passed","Wed Aug 04 14:25:06 GMT 2021","Wed Aug 04 14:32:31 GMT 2021","445198","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:22:59 GMT 2021","Wed Aug 04 14:23:00 GMT 2021","1030","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:23:01 GMT 2021","Wed Aug 04 14:23:05 GMT 2021","4071","selenium_tests","test_A005_post","","","","test_new_post",""
"failed","Wed Aug 04 14:22:55 GMT 2021","Wed Aug 04 14:22:58 GMT 2021","2682","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:22:58 GMT 2021","Wed Aug 04 14:22:59 GMT 2021","1075","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:32:32 GMT 2021","Wed Aug 04 14:33:43 GMT 2021","70941","selenium_tests","test_A009_edit_username","","","","test_edit_username",""
"passed","Wed Aug 04 14:23:05 GMT 2021","Wed Aug 04 14:25:06 GMT 2021","120702","selenium_tests","test_A006_del_post","","","","test_del_post",""
