"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 17:34:32 GMT 2021","Tue Aug 03 17:34:33 GMT 2021","1118","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Tue Aug 03 17:34:22 GMT 2021","Tue Aug 03 17:34:26 GMT 2021","4384","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Tue Aug 03 17:34:20 GMT 2021","Tue Aug 03 17:34:21 GMT 2021","1051","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Tue Aug 03 17:34:15 GMT 2021","Tue Aug 03 17:34:19 GMT 2021","3427","selenium_tests","test_A001_registration","","","","test_reg",""
"broken","Tue Aug 03 17:34:28 GMT 2021","Tue Aug 03 17:34:32 GMT 2021","4031","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Tue Aug 03 17:34:19 GMT 2021","Tue Aug 03 17:34:20 GMT 2021","1032","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"broken","Tue Aug 03 17:34:26 GMT 2021","Tue Aug 03 17:34:28 GMT 2021","1599","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Tue Aug 03 17:34:21 GMT 2021","Tue Aug 03 17:34:22 GMT 2021","962","selenium_tests","test_A004_login","","","","test_login",""
