"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 16:58:30 GMT 2021","Tue Aug 03 16:58:31 GMT 2021","828","selenium_tests","test_A004_login","","","","test_login",""
"passed","Tue Aug 03 16:58:31 GMT 2021","Tue Aug 03 16:58:34 GMT 2021","3506","selenium_tests","test_A005_post","","","","test_new_post",""
"broken","Tue Aug 03 16:58:34 GMT 2021","Tue Aug 03 16:58:35 GMT 2021","1221","selenium_tests","test_A006_del_post","","","","test_del_post",""
"failed","Tue Aug 03 16:58:25 GMT 2021","Tue Aug 03 16:58:28 GMT 2021","3058","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Tue Aug 03 16:58:28 GMT 2021","Tue Aug 03 16:58:29 GMT 2021","1002","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"broken","Tue Aug 03 16:59:22 GMT 2021","Tue Aug 03 16:59:26 GMT 2021","4259","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Tue Aug 03 16:58:29 GMT 2021","Tue Aug 03 16:58:30 GMT 2021","970","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Tue Aug 03 16:58:35 GMT 2021","Tue Aug 03 16:59:22 GMT 2021","46586","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
