"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 17:15:12 GMT 2021","Tue Aug 03 17:15:16 GMT 2021","3987","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Tue Aug 03 17:15:11 GMT 2021","Tue Aug 03 17:15:12 GMT 2021","894","selenium_tests","test_A004_login","","","","test_login",""
"broken","Tue Aug 03 17:15:16 GMT 2021","Tue Aug 03 17:15:17 GMT 2021","1159","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Tue Aug 03 17:15:10 GMT 2021","Tue Aug 03 17:15:11 GMT 2021","935","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"broken","Tue Aug 03 17:15:18 GMT 2021","Tue Aug 03 17:15:29 GMT 2021","10316","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Tue Aug 03 17:15:05 GMT 2021","Tue Aug 03 17:15:09 GMT 2021","4163","selenium_tests","test_A001_registration","","","","test_reg",""
"broken","Tue Aug 03 17:15:17 GMT 2021","Tue Aug 03 17:15:18 GMT 2021","1175","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Tue Aug 03 17:15:09 GMT 2021","Tue Aug 03 17:15:10 GMT 2021","959","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
