"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 09:32:09 GMT 2021","Sun Jul 25 09:32:10 GMT 2021","983","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Sun Jul 25 09:32:12 GMT 2021","Sun Jul 25 09:32:15 GMT 2021","3763","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Sun Jul 25 09:32:10 GMT 2021","Sun Jul 25 09:32:11 GMT 2021","940","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"failed","Sun Jul 25 09:32:06 GMT 2021","Sun Jul 25 09:32:09 GMT 2021","2635","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Sun Jul 25 09:32:15 GMT 2021","Sun Jul 25 09:32:18 GMT 2021","2972","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Sun Jul 25 09:32:11 GMT 2021","Sun Jul 25 09:32:12 GMT 2021","837","selenium_tests","test_A004_login","","","","test_login",""
