"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:23:17 GMT 2021","Wed Aug 04 14:23:18 GMT 2021","1025","selenium_tests","test_A008_logout","","","","test_logout",""
"broken","Wed Aug 04 14:19:33 GMT 2021","Wed Aug 04 14:23:17 GMT 2021","224108","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:17:27 GMT 2021","Wed Aug 04 14:17:27 GMT 2021","990","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:17:25 GMT 2021","Wed Aug 04 14:17:27 GMT 2021","1082","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:17:32 GMT 2021","Wed Aug 04 14:19:33 GMT 2021","120627","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:17:28 GMT 2021","Wed Aug 04 14:17:32 GMT 2021","3799","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 14:17:28 GMT 2021","Wed Aug 04 14:17:28 GMT 2021","865","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:17:12 GMT 2021","Wed Aug 04 14:17:22 GMT 2021","10190","selenium_tests","test_A000_cookie","","","","test_cookies",""
"failed","Wed Aug 04 14:17:22 GMT 2021","Wed Aug 04 14:17:25 GMT 2021","2991","selenium_tests","test_A001_registration","","","","test_reg",""
