"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 03 17:41:32 GMT 2021","Tue Aug 03 17:41:36 GMT 2021","4126","selenium_tests","test_A005_post","","","","test_new_post",""
"broken","Tue Aug 03 17:41:36 GMT 2021","Tue Aug 03 17:41:38 GMT 2021","1475","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Tue Aug 03 17:41:31 GMT 2021","Tue Aug 03 17:41:32 GMT 2021","929","selenium_tests","test_A004_login","","","","test_login",""
"passed","Tue Aug 03 17:41:29 GMT 2021","Tue Aug 03 17:41:30 GMT 2021","964","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Tue Aug 03 17:41:26 GMT 2021","Tue Aug 03 17:41:29 GMT 2021","3452","selenium_tests","test_A001_registration","","","","test_reg",""
"broken","Tue Aug 03 17:41:38 GMT 2021","Tue Aug 03 17:41:39 GMT 2021","1193","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Tue Aug 03 17:41:30 GMT 2021","Tue Aug 03 17:41:31 GMT 2021","1031","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Tue Aug 03 17:41:39 GMT 2021","Tue Aug 03 17:41:40 GMT 2021","1081","selenium_tests","test_A008_logout","","","","test_logout",""
