"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 24 17:56:14 GMT 2021","Sat Jul 24 17:56:16 GMT 2021","1072","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sat Jul 24 17:56:09 GMT 2021","Sat Jul 24 17:56:12 GMT 2021","3334","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Sat Jul 24 17:56:12 GMT 2021","Sat Jul 24 17:56:13 GMT 2021","1051","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Sat Jul 24 17:56:13 GMT 2021","Sat Jul 24 17:56:14 GMT 2021","1008","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"broken","Sat Jul 24 17:56:16 GMT 2021","Sat Jul 24 17:56:20 GMT 2021","4318","selenium_tests","test_A005_post","","","","test_new_post",""
