"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:30:42 GMT 2021","Wed Aug 04 14:30:52 GMT 2021","10319","selenium_tests","test_A000_cookie","","","","test_cookies",""
"passed","Wed Aug 04 14:31:01 GMT 2021","Wed Aug 04 14:33:01 GMT 2021","120623","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:30:55 GMT 2021","Wed Aug 04 14:30:56 GMT 2021","907","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:41:38 GMT 2021","Wed Aug 04 14:43:19 GMT 2021","101227","selenium_tests","test_A010_edit_password","","","","test_edit_password",""
"passed","Wed Aug 04 14:40:26 GMT 2021","Wed Aug 04 14:40:27 GMT 2021","987","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:40:27 GMT 2021","Wed Aug 04 14:41:38 GMT 2021","70871","selenium_tests","test_A009_edit_username","","","","test_edit_username",""
"passed","Wed Aug 04 14:30:56 GMT 2021","Wed Aug 04 14:30:56 GMT 2021","906","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"failed","Wed Aug 04 14:43:19 GMT 2021","Wed Aug 04 14:44:09 GMT 2021","50541","selenium_tests","test_A011_edit_email","","","","test_edit_email",""
"passed","Wed Aug 04 14:30:52 GMT 2021","Wed Aug 04 14:30:55 GMT 2021","2705","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:30:56 GMT 2021","Wed Aug 04 14:30:57 GMT 2021","782","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:33:01 GMT 2021","Wed Aug 04 14:40:26 GMT 2021","444511","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:30:57 GMT 2021","Wed Aug 04 14:31:01 GMT 2021","3427","selenium_tests","test_A005_post","","","","test_new_post",""
