"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 09:56:57 GMT 2021","Sun Jul 25 09:56:59 GMT 2021","2872","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Sun Jul 25 09:56:52 GMT 2021","Sun Jul 25 09:56:53 GMT 2021","979","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sun Jul 25 09:56:51 GMT 2021","Sun Jul 25 09:56:52 GMT 2021","1039","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Sun Jul 25 09:56:53 GMT 2021","Sun Jul 25 09:56:57 GMT 2021","3812","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Sun Jul 25 09:56:50 GMT 2021","Sun Jul 25 09:56:51 GMT 2021","1010","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"failed","Sun Jul 25 09:56:49 GMT 2021","Sun Jul 25 09:56:50 GMT 2021","529","selenium_tests","test_A001_registration","","","","test_reg",""
