"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:35:57 GMT 2021","Wed Aug 04 14:35:57 GMT 2021","799","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:46:39 GMT 2021","Wed Aug 04 14:48:20 GMT 2021","101170","selenium_tests","test_A010_edit_password","","","","test_edit_password",""
"passed","Wed Aug 04 14:35:57 GMT 2021","Wed Aug 04 14:36:01 GMT 2021","3753","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 14:35:56 GMT 2021","Wed Aug 04 14:35:57 GMT 2021","983","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:35:51 GMT 2021","Wed Aug 04 14:35:55 GMT 2021","3250","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:35:55 GMT 2021","Wed Aug 04 14:35:56 GMT 2021","986","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:45:27 GMT 2021","Wed Aug 04 14:45:28 GMT 2021","1022","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:36:01 GMT 2021","Wed Aug 04 14:38:02 GMT 2021","120630","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:35:41 GMT 2021","Wed Aug 04 14:35:51 GMT 2021","10366","selenium_tests","test_A000_cookie","","","","test_cookies",""
"broken","Wed Aug 04 14:49:10 GMT 2021","Wed Aug 04 14:52:11 GMT 2021","180761","selenium_tests","test_A025_pagination","","","","test_pagination",""
"failed","Wed Aug 04 14:48:20 GMT 2021","Wed Aug 04 14:49:10 GMT 2021","50578","selenium_tests","test_A011_edit_email","","","","test_edit_email",""
"passed","Wed Aug 04 14:45:28 GMT 2021","Wed Aug 04 14:46:39 GMT 2021","70864","selenium_tests","test_A009_edit_username","","","","test_edit_username",""
"passed","Wed Aug 04 14:38:02 GMT 2021","Wed Aug 04 14:45:27 GMT 2021","444817","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
