"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 24 17:06:36 GMT 2021","Sat Jul 24 17:06:36 GMT 2021","938","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Sat Jul 24 17:06:35 GMT 2021","Sat Jul 24 17:06:36 GMT 2021","938","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"broken","Sat Jul 24 17:06:37 GMT 2021","Sat Jul 24 17:06:39 GMT 2021","1347","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Sat Jul 24 17:06:36 GMT 2021","Sat Jul 24 17:06:37 GMT 2021","791","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sat Jul 24 17:06:32 GMT 2021","Sat Jul 24 17:06:35 GMT 2021","2764","selenium_tests","test_A001_registration","","","","test_reg",""
