"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:13:36 GMT 2021","Wed Aug 04 14:13:37 GMT 2021","1044","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:13:40 GMT 2021","Wed Aug 04 14:13:45 GMT 2021","4571","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 14:13:37 GMT 2021","Wed Aug 04 14:13:38 GMT 2021","1011","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:13:45 GMT 2021","Wed Aug 04 14:15:46 GMT 2021","120709","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:17:26 GMT 2021","Wed Aug 04 14:17:27 GMT 2021","1112","selenium_tests","test_A008_logout","","","","test_logout",""
"broken","Wed Aug 04 14:13:05 GMT 2021","Wed Aug 04 14:13:36 GMT 2021","31147","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:13:38 GMT 2021","Wed Aug 04 14:13:40 GMT 2021","2037","selenium_tests","test_A004_login","","","","test_login",""
"broken","Wed Aug 04 14:15:46 GMT 2021","Wed Aug 04 14:17:26 GMT 2021","100506","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
