"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 09:39:28 GMT 2021","Sun Jul 25 09:39:32 GMT 2021","3893","selenium_tests","test_A005_post","","","","test_new_post",""
"failed","Sun Jul 25 09:39:24 GMT 2021","Sun Jul 25 09:39:24 GMT 2021","591","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Sun Jul 25 09:39:32 GMT 2021","Sun Jul 25 09:39:35 GMT 2021","3023","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Sun Jul 25 09:39:26 GMT 2021","Sun Jul 25 09:39:27 GMT 2021","1181","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Sun Jul 25 09:39:27 GMT 2021","Sun Jul 25 09:39:28 GMT 2021","1026","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sun Jul 25 09:39:24 GMT 2021","Sun Jul 25 09:39:26 GMT 2021","1043","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
