"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:35:45 GMT 2021","Wed Aug 04 14:35:46 GMT 2021","921","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:35:44 GMT 2021","Wed Aug 04 14:35:45 GMT 2021","920","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:35:42 GMT 2021","Wed Aug 04 14:35:44 GMT 2021","2768","selenium_tests","test_A001_registration","","","","test_reg",""
"failed","Wed Aug 04 14:48:59 GMT 2021","Wed Aug 04 14:57:06 GMT 2021","486983","selenium_tests","test_A025_pagination","","","","test_pagination",""
"passed","Wed Aug 04 14:35:47 GMT 2021","Wed Aug 04 14:35:50 GMT 2021","3394","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 14:46:27 GMT 2021","Wed Aug 04 14:48:08 GMT 2021","101103","selenium_tests","test_A010_edit_password","","","","test_edit_password",""
"passed","Wed Aug 04 14:35:50 GMT 2021","Wed Aug 04 14:37:51 GMT 2021","120622","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:45:15 GMT 2021","Wed Aug 04 14:45:16 GMT 2021","991","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:45:16 GMT 2021","Wed Aug 04 14:46:27 GMT 2021","70838","selenium_tests","test_A009_edit_username","","","","test_edit_username",""
"failed","Wed Aug 04 14:48:08 GMT 2021","Wed Aug 04 14:48:59 GMT 2021","50588","selenium_tests","test_A011_edit_email","","","","test_edit_email",""
"passed","Wed Aug 04 14:35:31 GMT 2021","Wed Aug 04 14:35:42 GMT 2021","10321","selenium_tests","test_A000_cookie","","","","test_cookies",""
"passed","Wed Aug 04 14:37:51 GMT 2021","Wed Aug 04 14:45:15 GMT 2021","444224","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:35:46 GMT 2021","Wed Aug 04 14:35:47 GMT 2021","796","selenium_tests","test_A004_login","","","","test_login",""
