"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 13:57:14 GMT 2021","Wed Aug 04 13:59:15 GMT 2021","120625","selenium_tests","test_A006_del_post","","","","test_del_post",""
"failed","Wed Aug 04 13:57:04 GMT 2021","Wed Aug 04 13:57:07 GMT 2021","2566","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 13:57:10 GMT 2021","Wed Aug 04 13:57:14 GMT 2021","4061","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 13:57:07 GMT 2021","Wed Aug 04 13:57:08 GMT 2021","1016","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 13:57:08 GMT 2021","Wed Aug 04 13:57:09 GMT 2021","974","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 13:59:15 GMT 2021","Wed Aug 04 14:06:20 GMT 2021","424914","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 13:57:09 GMT 2021","Wed Aug 04 13:57:10 GMT 2021","927","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:06:20 GMT 2021","Wed Aug 04 14:06:21 GMT 2021","996","selenium_tests","test_A008_logout","","","","test_logout",""
