"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 04 14:03:03 GMT 2021","Wed Aug 04 14:04:24 GMT 2021","80456","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:04:24 GMT 2021","Wed Aug 04 14:04:25 GMT 2021","1267","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:01:03 GMT 2021","Wed Aug 04 14:03:03 GMT 2021","120687","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:00:59 GMT 2021","Wed Aug 04 14:01:03 GMT 2021","3927","selenium_tests","test_A005_post","","","","test_new_post",""
"failed","Wed Aug 04 14:00:53 GMT 2021","Wed Aug 04 14:00:56 GMT 2021","2706","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:00:57 GMT 2021","Wed Aug 04 14:00:58 GMT 2021","972","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:00:58 GMT 2021","Wed Aug 04 14:00:59 GMT 2021","866","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:00:56 GMT 2021","Wed Aug 04 14:00:57 GMT 2021","1038","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
