"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 09:48:07 GMT 2021","Sun Jul 25 09:48:08 GMT 2021","1122","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Sun Jul 25 09:48:09 GMT 2021","Sun Jul 25 09:48:11 GMT 2021","1128","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sun Jul 25 09:48:11 GMT 2021","Sun Jul 25 09:48:15 GMT 2021","4043","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Sun Jul 25 09:48:08 GMT 2021","Sun Jul 25 09:48:09 GMT 2021","1140","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Sun Jul 25 09:48:15 GMT 2021","Sun Jul 25 09:48:18 GMT 2021","3386","selenium_tests","test_A006_del_post","","","","test_del_post",""
"failed","Sun Jul 25 09:48:07 GMT 2021","Sun Jul 25 09:48:07 GMT 2021","399","selenium_tests","test_A001_registration","","","","test_reg",""
