"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 24 17:46:55 GMT 2021","Sat Jul 24 17:46:56 GMT 2021","747","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sat Jul 24 17:46:53 GMT 2021","Sat Jul 24 17:46:54 GMT 2021","953","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"broken","Sat Jul 24 17:46:56 GMT 2021","Sat Jul 24 17:46:57 GMT 2021","887","selenium_tests","test_A005_post","","","","test_new_post",""
"failed","Sat Jul 24 17:46:51 GMT 2021","Sat Jul 24 17:46:53 GMT 2021","2020","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Sat Jul 24 17:46:54 GMT 2021","Sat Jul 24 17:46:55 GMT 2021","901","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
