"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 31 17:24:23 GMT 2021","Sat Jul 31 17:24:26 GMT 2021","3058","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Sat Jul 31 17:24:18 GMT 2021","Sat Jul 31 17:24:19 GMT 2021","871","selenium_tests","test_A004_login","","","","test_login",""
"passed","Sat Jul 31 17:24:17 GMT 2021","Sat Jul 31 17:24:18 GMT 2021","1042","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Sat Jul 31 17:24:16 GMT 2021","Sat Jul 31 17:24:17 GMT 2021","1066","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Sat Jul 31 17:24:26 GMT 2021","Sat Jul 31 17:25:13 GMT 2021","47340","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Sat Jul 31 17:25:13 GMT 2021","Sat Jul 31 17:25:20 GMT 2021","6416","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Sat Jul 31 17:24:19 GMT 2021","Sat Jul 31 17:24:23 GMT 2021","3804","selenium_tests","test_A005_post","","","","test_new_post",""
"broken","Sat Jul 31 17:24:13 GMT 2021","Sat Jul 31 17:24:16 GMT 2021","2940","selenium_tests","test_A001_registration","","","","test_reg",""
